name,price,discount,rating,sold,image,url
SKMEI Fashion Quartz Waterproof Creative Stainless Steel Business Watch For Men 1260 Black  Ghori Wala,495.0,51.0,0.0,471,https://img.lazcdn.com/3rd/q/aHR0cHM6Ly9zdGF0aWMtMDEuZGFyYXouY29tLmJkL3AvMGZmZDQ2N2Q4MDBkMzMyNjJiMzQ1MGJhZGE5NTlmOWIuanBn_200x200q80.png_.webp,https://www.daraz.com.bd/products/skmei-1260-i331079107.html
POEDAGAR Luxury Watch Business Waterproof Male Clock Luminous Date Stainless Steel Square Quartz Men Watch 613,999.0,45.0,0.0,421,https://img.lazcdn.com/3rd/q/aHR0cHM6Ly9zdGF0aWMtMDEuZGFyYXouY29tLmJkL3AvOGM5NmM5NDYzMWE5YmJjZjQ5ZjBjNzI1MTExMGRiODMucG5n_200x200q80.png_.webp,https://www.daraz.com.bd/products/poedagar-613-i324338179.html
SKMEI 1787 Rotation Wheels Fashion Men Stainless Steel Watch For Man,799.0,48.0,0.0,48,https://img.lazcdn.com/3rd/q/aHR0cHM6Ly9zdGF0aWMtMDEuZGFyYXouY29tLmJkL3AvNWJiY2E2NzQwNGUyZGEyZDRmODVkNThmZTZmNDJkNWEuanBn_200x200q80.png_.webp,https://www.daraz.com.bd/products/skmei-1787-i332885885.html
POEDAGAR Men Watch Top Brand Luxury Business Quartz Mens Watches Full Steel Waterproof Luminous Wristwatch Men Relogio Masculino,630.0,50.0,0.0,275,https://img.lazcdn.com/3rd/q/aHR0cHM6Ly9zdGF0aWMtMDEuZGFyYXouY29tLmJkL3AvNjlmZDBhYTY5ZDUxNWUyMTYzMmQxYzk1MGFlMDU3N2MuanBn_200x200q80.png_.webp,https://www.daraz.com.bd/products/poedagar-men-watch-top-brand-luxury-business-quartz-mens-watches-full-steel-waterproof-luminous-wristwatch-men-relogio-masculino-i323674712.html
(Ready Stock) Original G-Shock Men Sport Digital Classic Square Watch Shockproof and Waterproof Stainless Steel Band Sports Business Wrist Watches with 2 Year International Warranty F91W,699.0,52.0,0.0,72,,https://www.daraz.com.bd/products/2-f91w-i367799394.html
SKMEI 1787 Fashion Creative Cool Black Watch Cutout Concept Dial Metal Style Waterproof Sports Watch For Men,849.0,59.0,0.0,119,,https://www.daraz.com.bd/products/skmei-1787-fashion-creative-cool-black-watch-cutout-concept-dial-metal-style-waterproof-sports-watch-for-men-i317666629.html
SANDA Couple Watch 30M Waterproof Casual Fashion Women Men Quartz Watches Wear Resistant Leather Strap Square Dial Design Reloj,1696.0,50.0,0.0,628,,https://www.daraz.com.bd/products/sanda-30m-i402590631.html
Top Luxury Brand Couple Watch For Women Men Clock Male Calendar Love Dial Quartz Wrist Watches Leather Ladies Man Watch,512.0,71.0,0.0,1200,,https://www.daraz.com.bd/products/-i400999507.html
6PCS Set Women Love Dial Watch Brand Design Female Clock Pink Leather Band Ladies Watches Simple Casual Quartz Wristwatches,946.0,50.0,0.0,740,,https://www.daraz.com.bd/products/shaarms-6pcs-i401565347.html
Olevs Luxury Fashion Stainless Steel Unique Design Diamond Cutting Glass Wrist-Watche For Men,599.0,56.0,0.0,1000,,https://www.daraz.com.bd/products/olevs-luxury-fashion-stainless-steel-unique-design-diamond-cutting-glass-wrist-watche-for-men-i328851942.html
